,0,1,2,average,ste,inhib%,inhib%ste,DrugID
0,0.986,0.961,0.933,0.96,0.015307950004273362,-4.318936877076418,1.5257093027514979," Ven, 0.03uM/uL"
1,0.934,0.936,0.924,0.9313333333333333,0.003711842908553352,-7.176079734219276,0.3699511204538224," Ven, 0.1uM/uL"
2,0.968,0.909,0.978,0.9516666666666667,0.02152775985662335,-5.149501661129574,2.1456239059757487," Ven, 1uM/uL"
3,0.759,0.716,0.715,0.73,0.014502873278538074,-27.242524916943534,1.4454690975287117," Ven, 3uM/uL"
4,0.893,0.946,0.9,0.9129999999999999,0.016623276853055556,-9.003322259136226,1.6568050019656702," Ven, 10uM/uL"
5,0.853,0.875,0.877,0.8683333333333333,0.007688375063113871,-13.455149501661145,0.766283228881781," 1-17, 0.03uM/uL"
6,0.825,0.805,0.801,0.8103333333333333,0.007423685817106666,-19.2358803986711,0.7399022409076411," 1-17, 0.1uM/uL"
7,0.558,0.577,0.553,0.5626666666666668,0.00731057073315374,-43.920265780730894,0.7286283122744591," 1-17, 1uM/uL"
8,0.276,0.28,0.281,0.279,0.0015275252316519481,-72.19269102990033,0.15224503969952968," 1-17, 3uM/uL"
9,0.123,0.123,0.121,0.12233333333333334,0.0006666666666666674,-87.80730897009967,0.06644518272425257," 1-17, 10uM/uL"
10,0.777,0.842,0.861,0.8266666666666667,0.025431826080283288,-17.607973421926914,2.5347334963737493," 1-67, 0.03uM/uL"
11,0.733,0.759,0.791,0.761,0.01677299416721218,-24.15282392026579,1.6717269934098518," 1-67, 0.1uM/uL"
12,0.755,0.747,0.765,0.7556666666666666,0.005206833117271108,-24.684385382059816,0.5189534668376519," 1-67, 1uM/uL"
13,0.669,0.649,0.669,0.6623333333333333,0.006666666666666672,-33.98671096345516,0.6644518272425255," 1-67, 3uM/uL"
14,0.548,0.545,0.559,0.5506666666666667,0.004255715111601239,-45.11627906976744,0.42415765231906033," 1-67, 10uM/uL"
15,0.98,0.99,0.982,0.984,0.0030550504633038962,-1.926910299003326,0.30449007939905937," 2-11, 0.03uM/uL"
16,1.01,1.017,1.037,1.0213333333333334,0.008089774066341046,1.7940199335548135,0.8062897740539249," 2-11, 0.1uM/uL"
17,0.971,0.958,0.991,0.9733333333333333,0.00959745336592532,-2.9900332225913706,0.9565568138795999," 2-11, 1uM/uL"
18,0.916,0.869,0.917,0.9006666666666666,0.015835964693626286,-10.232558139534898,1.5783353515242144," 2-11, 3uM/uL"
19,0.427,0.439,0.439,0.435,0.004000000000000004,-56.644518272425245,0.39867109634551534," 2-11, 10uM/uL"
20,0.998,0.983,1.041,1.0073333333333332,0.017381343765978233,0.39867109634550424,1.732359843785206," 2-35, 0.03uM/uL"
21,0.982,0.98,1.007,0.9896666666666666,0.008685876147196894,-1.362126245847195,0.8657019415810856," 2-35, 0.1uM/uL"
22,1.0,0.967,0.988,0.985,0.009643650760992965,-1.82724252491695,0.9611612054145812," 2-35, 1uM/uL"
23,0.934,0.894,0.859,0.8956666666666667,0.021666666666666688,-10.730897009966778,2.159468438538208," 2-35, 3uM/uL"
24,0.827,0.747,0.805,0.793,0.0238607068908977,-20.963455149501662,2.3781435439432923," 2-35, 10uM/uL"
25,1.062,0.96,0.988,1.0033333333333334,0.030426596552650766,0.0,3.0325511514269863, +CTRL
26,0.085,0.08,0.081,0.082,0.0015275252316519481,-91.82724252491694,0.15224503969952968, -CTRL
