,0,1,2,average,ste,inhib%,inhib%ste,DrugID
0,0.797,0.768,0.718,0.761,0.023072349974229637,-10.994152046783622,2.6985204648221797," Ven, 0.03uM/uL"
1,0.748,0.791,0.771,0.77,0.01242309676905616,-9.941520467836252,1.4529937741586154," Ven, 0.1uM/uL"
2,0.804,0.771,0.77,0.7816666666666667,0.011170397386744036,-8.57699805068225,1.3064792265197704," Ven, 1uM/uL"
3,0.789,0.826,0.857,0.824,0.019655363983740744,-3.6257309941520544,2.298872980554473," Ven, 3uM/uL"
4,0.776,0.735,0.716,0.7423333333333334,0.017704362299852682,-13.17738791423001,2.070685649105577," Ven, 10uM/uL"
5,0.77,0.811,0.81,0.797,0.013503086067019408,-6.783625730994148,1.5793083119320945," 1-17, 0.03uM/uL"
6,0.761,0.787,0.79,0.7793333333333333,0.00920748487795543,-8.849902534113063,1.076898816135138," 1-17, 0.1uM/uL"
7,0.556,0.551,0.552,0.553,0.0015275252316519481,-35.32163742690058,0.1786579218306372," 1-17, 1uM/uL"
8,0.496,0.475,0.49,0.48699999999999993,0.006244997998398403,-43.04093567251462,0.7304091226196964," 1-17, 3uM/uL"
9,0.427,0.418,0.424,0.423,0.002645751311064593,-50.526315789473685,0.3094445977853325," 1-17, 10uM/uL"
10,0.685,0.707,0.685,0.6923333333333334,0.007333333333333304,-19.02534113060429,0.8576998050682226," 1-67, 0.03uM/uL"
11,0.697,0.713,0.681,0.6970000000000001,0.009237604307033988,-18.479532163742686,1.0804215563782442," 1-67, 0.1uM/uL"
12,0.628,0.631,0.625,0.628,0.001732050807568879,-26.54970760233918,0.2025790418209215," 1-67, 1uM/uL"
13,0.523,0.527,0.525,0.525,0.0011547005383792527,-38.59649122807017,0.13505269454728103," 1-67, 3uM/uL"
14,0.373,0.353,0.355,0.36033333333333334,0.006359594676112977,-57.85575048732943,0.7438122428202312," 1-67, 10uM/uL"
15,0.747,0.774,0.763,0.7613333333333333,0.007838650677536573,-10.955165692007796,0.9168012488346869," 2-11, 0.03uM/uL"
16,0.769,0.729,0.745,0.7476666666666666,0.011623730516108472,-12.553606237816773,1.3595006451588856," 2-11, 0.1uM/uL"
17,0.693,0.689,0.693,0.6916666666666665,0.0013333333333333348,-19.103313840155955,0.155945419103314," 2-11, 1uM/uL"
18,0.557,0.532,0.525,0.5379999999999999,0.009712534856222319,-37.076023391812875,1.1359689890318503," 2-11, 3uM/uL"
19,0.428,0.446,0.439,0.43766666666666665,0.005238744548500575,-48.81091617933724,0.612718660643342," 2-11, 10uM/uL"
20,0.806,0.776,0.785,0.789,0.008888194417315597,-7.719298245614025,1.0395549026100115," 2-35, 0.03uM/uL"
21,0.809,0.814,0.804,0.809,0.0028867513459480995,-5.380116959064319,0.3376317363681988," 2-35, 0.1uM/uL"
22,0.799,0.827,0.823,0.8163333333333332,0.008743251365735973,-4.5224171539961056,1.0226024989164881," 2-35, 1uM/uL"
23,0.841,0.844,0.865,0.85,0.007549834435270756,-0.5847953216374324,0.8830215713766967," 2-35, 3uM/uL"
24,0.663,0.624,0.613,0.6333333333333333,0.015169413670643686,-25.92592592592593,1.774200429315051," 2-35, 10uM/uL"
25,0.848,0.861,0.856,0.855,0.0037859388972001857,0.0,0.44279987101756557, +CTRL
26,0.082,0.08,0.091,0.08433333333333333,0.003382963855030738,-90.1364522417154,0.3956682871380981, -CTRL
